id,name,lane,startPos,endPos,friendlyPos,lines
-1673526976,Georgenstraße/Am Kupfergraben,-167272512#2_0,0.00,5.35,true,
-1823298700,S+U Friedrichstraße,167272512#9_0,278.73,303.73,true,
-2175753204,Am Kupfergraben,-207364192#0_0,0.00,12.50,true,
-247600965,S+U Friedrichstraße,-22820560#2_0,57.38,82.38,true,
-247603398,Am Kupfergraben,-207364191#0_0,3.40,28.40,true,
-27411240,S Hackescher Markt,-32590638_0,236.04,436.04,true,
-3867910426,S Hackescher Markt,-387892378_0,6.31,21.31,true,N42
-3922258748,Universitätsstraße,-144014237#2_0,1.81,26.81,true,
-6744165042,U Rotes Rathaus,-534588621#0_0,36.36,51.36,true,N60 200 N65 N2 N8 N40 N42 300
1633759760,S Hackescher Markt,803941122_0,35.74,60.74,true,M4 M5 M6
1633759766,S Hackescher Markt,421641064_0,48.15,60.65,true,M4 M5 M6
1673526976,Georgenstraße/Am Kupfergraben,167272512#2_0,68.07,80.57,true,12 M1
1745157971,S Hackescher Markt,32590649_0,122.04,322.04,true,S5 S7 S3 S9
1823298700,S+U Friedrichstraße,195411594#0_0,7.32,32.32,true,
1827996414,Spandauer Straße/Marienkirche,72157174#1_0,28.44,35.94,true,100 200 N5 N8 N40 N2
1827996417,Spandauer Straße/Marienkirche,24914992_0,208.55,216.09,true,N60 100 200 N65 N2 N5 N8 N40
2175753204,Am Kupfergraben,144014228#2_0,30.36,50.08,true,12
247600965,S+U Friedrichstraße,-93584121#0_0,34.69,59.69,true,
247603398,Am Kupfergraben,144014230#3_0,35.92,60.92,true,M1
271296293,Staatsoper,169195795#4_0,34.39,49.39,true,100 N5 300
27411240,S Hackescher Markt,4471817#1_0,6.63,193.81,true,S5 S7 S3 S9
2915590925,Spandauer Straße/Marienkirche,202157002#1_0,54.53,69.53,true,N42
30731481,Spandauer Straße/Marienkirche,144014234#1_0,38.25,63.25,true,M4 M5 M6
3867910420,U Museumsinsel,61584187#1_0,29.87,44.87,true,100 N5 300
3867910421,U Museumsinsel,831694400_0,23.29,38.29,true,100 N5 300
3867910427,S Hackescher Markt,370359204#2_0,8.03,23.03,true,N42
3867910438,Spandauer Straße/Marienkirche,4773465#1_0,19.57,34.57,true,N42
3867922463,U Museumsinsel,4773024#0_0,0.00,7.50,true,
3867922470,Spandauer Straße/Marienkirche,1097921378_0,0.00,3.11,true,
3869306771,U Unter den Linden,461526152#0_0,4.41,19.41,true,100 N5 300
3870475228,Staatsoper,340498982#1_0,13.62,28.62,true,100 N5 300
3922258748,Universitätsstraße,144014237#2_0,68.15,93.15,true,12 M1
4673135647,Spandauer Straße/Marienkirche,150394035#1_0,51.85,75.65,true,M4 M5 M6
6682293818,U Rotes Rathaus,534588621#0_0,13.89,28.89,true,200 N8 N40 N2 N42 300
7974928190,U Museumsinsel,942849697_0,13.37,213.37,true,U5
7974955393,U Museumsinsel,942849695_0,1.87,201.87,true,U5
8087330616,U Unter den Linden,942849696_0,224.00,424.00,true,U5
8090274121,U Unter den Linden,71326270_0,382.94,582.94,true,U5
8196661136,U Rotes Rathaus,248099628_0,364.55,504.66,true,U5
8196661137,U Rotes Rathaus,942849698_0,0.00,199.31,true,U5
